axis,start_idx,end_idx,start_time,end_time,duration_sec,peak_resid,label
Axis #5,199,199,2022-10-17 12:25:04.558000+00:00,2022-10-17 12:25:04.558000+00:00,0.0,5.353,WARNING
Axis #5,209,209,2022-10-17 12:25:23.293000+00:00,2022-10-17 12:25:23.293000+00:00,0.0,5.4393,WARNING
Axis #6,222,222,2022-10-17 12:25:47.777000+00:00,2022-10-17 12:25:47.777000+00:00,0.0,4.6895,WARNING
Axis #7,225,225,2022-10-17 12:25:57.572000+00:00,2022-10-17 12:25:57.572000+00:00,0.0,4.9979,WARNING
Axis #1,226,226,2022-10-17 12:25:59.531000+00:00,2022-10-17 12:25:59.531000+00:00,0.0,5.4383,WARNING
Axis #7,233,233,2022-10-17 12:26:12.851000+00:00,2022-10-17 12:26:12.851000+00:00,0.0,6.6384,WARNING
Axis #5,234,234,2022-10-17 12:26:14.760000+00:00,2022-10-17 12:26:14.760000+00:00,0.0,5.6222,WARNING
Axis #7,237,237,2022-10-17 12:26:20.453000+00:00,2022-10-17 12:26:20.453000+00:00,0.0,5.2436,WARNING
Axis #3,239,239,2022-10-17 12:26:24.206000+00:00,2022-10-17 12:26:24.206000+00:00,0.0,13.7382,WARNING
Axis #1,244,244,2022-10-17 12:26:33.503000+00:00,2022-10-17 12:26:33.503000+00:00,0.0,4.5989,WARNING
Axis #1,248,248,2022-10-17 12:26:41.038000+00:00,2022-10-17 12:26:41.038000+00:00,0.0,6.2764,WARNING
Axis #5,249,249,2022-10-17 12:26:43.029000+00:00,2022-10-17 12:26:43.029000+00:00,0.0,5.0404,WARNING
Axis #4,251,251,2022-10-17 12:26:46.842000+00:00,2022-10-17 12:26:46.842000+00:00,0.0,3.7793,WARNING
Axis #3,254,254,2022-10-17 12:26:52.588000+00:00,2022-10-17 12:26:52.588000+00:00,0.0,13.3081,WARNING
Axis #6,259,259,2022-10-17 12:33:46.951000+00:00,2022-10-17 12:33:46.951000+00:00,0.0,4.1466,WARNING
Axis #3,272,272,2022-10-17 12:34:11.226000+00:00,2022-10-17 12:34:11.226000+00:00,0.0,12.8843,WARNING
Axis #1,273,273,2022-10-17 12:34:13.054000+00:00,2022-10-17 12:34:13.054000+00:00,0.0,4.521,WARNING
Axis #5,273,273,2022-10-17 12:34:13.054000+00:00,2022-10-17 12:34:13.054000+00:00,0.0,4.2256,WARNING
Axis #3,278,278,2022-10-17 12:34:22.917000+00:00,2022-10-17 12:34:22.917000+00:00,0.0,12.4361,WARNING
Axis #6,280,280,2022-10-17 12:34:26.728000+00:00,2022-10-17 12:34:26.728000+00:00,0.0,4.5046,WARNING
Axis #5,285,285,2022-10-17 12:34:36.141000+00:00,2022-10-17 12:34:36.141000+00:00,0.0,6.0553,WARNING
Axis #5,313,313,2022-10-17 12:35:33.143000+00:00,2022-10-17 12:35:33.143000+00:00,0.0,4.1397,WARNING
Axis #7,316,316,2022-10-17 12:35:38.729000+00:00,2022-10-17 12:35:38.729000+00:00,0.0,4.2912,WARNING
Axis #6,325,325,2022-10-17 12:35:59.343000+00:00,2022-10-17 12:35:59.343000+00:00,0.0,4.6081,WARNING
Axis #4,333,333,2022-10-17 12:36:14.355000+00:00,2022-10-17 12:36:14.355000+00:00,0.0,5.028,WARNING
Axis #7,334,334,2022-10-17 12:36:16.294000+00:00,2022-10-17 12:36:16.294000+00:00,0.0,5.0545,WARNING
Axis #7,351,351,2022-10-17 12:36:48.315000+00:00,2022-10-17 12:36:48.315000+00:00,0.0,4.346,WARNING
Axis #1,375,375,2022-10-17 12:37:38.148000+00:00,2022-10-17 12:37:38.148000+00:00,0.0,5.028,WARNING
Axis #2,379,379,2022-10-17 12:37:45.650000+00:00,2022-10-17 12:37:45.650000+00:00,0.0,20.4908,WARNING
Axis #3,381,381,2022-10-17 12:37:49.411000+00:00,2022-10-17 12:37:49.411000+00:00,0.0,10.6169,WARNING
Axis #4,382,382,2022-10-17 12:37:51.274000+00:00,2022-10-17 12:37:51.274000+00:00,0.0,3.5725,WARNING
Axis #3,393,393,2022-10-17 12:38:16.667000+00:00,2022-10-17 12:38:16.667000+00:00,0.0,11.0922,WARNING
Axis #2,394,394,2022-10-17 12:38:18.586000+00:00,2022-10-17 12:38:18.586000+00:00,0.0,15.5985,WARNING
Axis #3,395,395,2022-10-17 12:38:20.601000+00:00,2022-10-17 12:38:20.601000+00:00,0.0,10.6157,WARNING
Axis #4,397,397,2022-10-17 12:38:24.511000+00:00,2022-10-17 12:38:24.511000+00:00,0.0,3.9506,WARNING
Axis #7,398,398,2022-10-17 12:38:26.377000+00:00,2022-10-17 12:38:26.377000+00:00,0.0,5.1783,WARNING
Axis #5,402,402,2022-10-17 12:38:33.936000+00:00,2022-10-17 12:38:33.936000+00:00,0.0,5.7123,WARNING
Axis #2,403,403,2022-10-17 12:38:35.763000+00:00,2022-10-17 12:38:35.763000+00:00,0.0,14.0562,WARNING
Axis #6,406,406,2022-10-17 12:38:41.339000+00:00,2022-10-17 12:38:41.339000+00:00,0.0,5.158,WARNING
Axis #4,411,411,2022-10-17 12:38:50.712000+00:00,2022-10-17 12:38:50.712000+00:00,0.0,3.3288,WARNING
Axis #5,412,412,2022-10-17 12:38:52.570000+00:00,2022-10-17 12:38:52.570000+00:00,0.0,4.8285,WARNING
Axis #3,427,427,2022-10-17 12:39:24.622000+00:00,2022-10-17 12:39:24.622000+00:00,0.0,11.6869,WARNING
Axis #5,431,431,2022-10-17 12:39:32.044000+00:00,2022-10-17 12:39:32.044000+00:00,0.0,4.6216,WARNING
Axis #5,440,440,2022-10-17 12:39:51.066000+00:00,2022-10-17 12:39:51.066000+00:00,0.0,4.3585,WARNING
Axis #7,448,448,2022-10-17 12:40:10.265000+00:00,2022-10-17 12:40:10.265000+00:00,0.0,6.7581,WARNING
Axis #1,452,452,2022-10-17 12:40:17.847000+00:00,2022-10-17 12:40:17.847000+00:00,0.0,4.486,WARNING
Axis #3,454,454,2022-10-17 12:40:21.626000+00:00,2022-10-17 12:40:21.626000+00:00,0.0,10.7296,WARNING
Axis #5,457,457,2022-10-17 12:40:27.285000+00:00,2022-10-17 12:40:27.285000+00:00,0.0,4.7225,WARNING
Axis #6,465,465,2022-10-17 12:40:42.322000+00:00,2022-10-17 12:40:42.322000+00:00,0.0,3.9166,WARNING
Axis #2,467,467,2022-10-17 12:40:46.125000+00:00,2022-10-17 12:40:46.125000+00:00,0.0,15.6513,WARNING
Axis #8,470,470,2022-10-17 12:40:51.672000+00:00,2022-10-17 12:40:51.672000+00:00,0.0,0.9197,WARNING
Axis #5,474,474,2022-10-17 12:40:59.347000+00:00,2022-10-17 12:40:59.347000+00:00,0.0,5.5364,WARNING
Axis #1,478,478,2022-10-17 12:41:06.864000+00:00,2022-10-17 12:41:06.864000+00:00,0.0,5.6118,WARNING
Axis #7,478,478,2022-10-17 12:41:06.864000+00:00,2022-10-17 12:41:06.864000+00:00,0.0,5.0129,WARNING
Axis #8,489,489,2022-10-17 12:41:31.854000+00:00,2022-10-17 12:41:31.854000+00:00,0.0,0.9351,WARNING
Axis #3,495,495,2022-10-17 12:41:43.229000+00:00,2022-10-17 12:41:43.229000+00:00,0.0,10.2413,WARNING
Axis #1,505,505,2022-10-17 12:42:01.745000+00:00,2022-10-17 12:42:01.745000+00:00,0.0,5.2286,WARNING
Axis #2,509,509,2022-10-17 12:42:09.225000+00:00,2022-10-17 12:42:09.225000+00:00,0.0,13.577,WARNING
Axis #5,512,512,2022-10-17 12:42:19.326000+00:00,2022-10-17 12:42:19.326000+00:00,0.0,4.5478,WARNING
Axis #6,513,513,2022-10-17 12:42:21.177000+00:00,2022-10-17 12:42:21.177000+00:00,0.0,3.6796,WARNING
Axis #7,516,516,2022-10-17 12:42:26.827000+00:00,2022-10-17 12:42:26.827000+00:00,0.0,5.6047,WARNING
Axis #3,522,522,2022-10-17 12:42:38.164000+00:00,2022-10-17 12:42:38.164000+00:00,0.0,10.6901,WARNING
Axis #3,525,525,2022-10-17 12:42:43.915000+00:00,2022-10-17 12:42:43.915000+00:00,0.0,13.5614,WARNING
Axis #3,527,527,2022-10-17 12:42:47.721000+00:00,2022-10-17 12:42:47.721000+00:00,0.0,10.5651,WARNING
Axis #8,532,532,2022-10-17 12:42:57.148000+00:00,2022-10-17 12:42:57.148000+00:00,0.0,0.864,WARNING
Axis #4,534,534,2022-10-17 12:43:00.826000+00:00,2022-10-17 12:43:00.826000+00:00,0.0,3.6924,WARNING
Axis #5,536,536,2022-10-17 12:43:04.583000+00:00,2022-10-17 12:43:04.583000+00:00,0.0,4.4013,WARNING
Axis #3,546,546,2022-10-17 12:43:27.624000+00:00,2022-10-17 12:43:27.624000+00:00,0.0,12.566,WARNING
Axis #6,548,548,2022-10-17 12:43:31.367000+00:00,2022-10-17 12:43:31.367000+00:00,0.0,3.7807,WARNING
Axis #1,552,552,2022-10-17 12:43:39.067000+00:00,2022-10-17 12:43:39.067000+00:00,0.0,4.3955,WARNING
Axis #8,565,565,2022-10-17 12:44:03.417000+00:00,2022-10-17 12:44:03.417000+00:00,0.0,0.9467,WARNING
Axis #5,571,571,2022-10-17 12:44:14.632000+00:00,2022-10-17 12:44:14.632000+00:00,0.0,4.5278,WARNING
Axis #8,572,572,2022-10-17 12:44:16.560000+00:00,2022-10-17 12:44:16.560000+00:00,0.0,1.0889,WARNING
Axis #1,584,584,2022-10-17 12:44:43.272000+00:00,2022-10-17 12:44:43.272000+00:00,0.0,4.3138,WARNING
Axis #7,585,586,2022-10-17 12:44:45.131000+00:00,2022-10-17 12:44:46.942000+00:00,1.811,5.6817,WARNING
Axis #4,592,592,2022-10-17 12:44:58.470000+00:00,2022-10-17 12:44:58.470000+00:00,0.0,3.1505,WARNING
Axis #6,602,602,2022-10-17 12:45:17.816000+00:00,2022-10-17 12:45:17.816000+00:00,0.0,3.792,WARNING
Axis #6,615,615,2022-10-17 12:45:46.216000+00:00,2022-10-17 12:45:46.216000+00:00,0.0,5.1735,WARNING
Axis #8,616,616,2022-10-17 12:45:48.206000+00:00,2022-10-17 12:45:48.206000+00:00,0.0,0.9649,WARNING
Axis #8,621,621,2022-10-17 12:45:57.931000+00:00,2022-10-17 12:45:57.931000+00:00,0.0,0.9932,WARNING
Axis #7,623,623,2022-10-17 12:46:01.867000+00:00,2022-10-17 12:46:01.867000+00:00,0.0,4.3375,WARNING
Axis #2,624,624,2022-10-17 12:46:03.725000+00:00,2022-10-17 12:46:03.725000+00:00,0.0,17.8311,WARNING
Axis #1,630,630,2022-10-17 12:46:15.302000+00:00,2022-10-17 12:46:15.302000+00:00,0.0,5.5074,WARNING
Axis #8,636,636,2022-10-17 12:46:26.587000+00:00,2022-10-17 12:46:26.587000+00:00,0.0,1.079,WARNING
Axis #1,641,641,2022-10-17 12:46:39.806000+00:00,2022-10-17 12:46:39.806000+00:00,0.0,4.4336,WARNING
Axis #2,642,642,2022-10-17 12:46:41.720000+00:00,2022-10-17 12:46:41.720000+00:00,0.0,16.3503,WARNING
Axis #6,651,651,2022-10-17 12:46:58.989000+00:00,2022-10-17 12:46:58.989000+00:00,0.0,3.9728,WARNING
Axis #5,653,653,2022-10-17 12:47:02.775000+00:00,2022-10-17 12:47:02.775000+00:00,0.0,5.5025,WARNING
Axis #7,658,658,2022-10-17 12:47:12.201000+00:00,2022-10-17 12:47:12.201000+00:00,0.0,7.248,WARNING
Axis #3,662,662,2022-10-17 12:47:19.673000+00:00,2022-10-17 12:47:19.673000+00:00,0.0,12.4485,WARNING
Axis #1,675,675,2022-10-17 12:47:48.262000+00:00,2022-10-17 12:47:48.262000+00:00,0.0,5.1469,WARNING
Axis #3,676,676,2022-10-17 12:47:50.131000+00:00,2022-10-17 12:47:50.131000+00:00,0.0,11.3449,WARNING
Axis #7,676,676,2022-10-17 12:47:50.131000+00:00,2022-10-17 12:47:50.131000+00:00,0.0,7.248,WARNING
Axis #4,679,680,2022-10-17 12:47:55.850000+00:00,2022-10-17 12:47:57.730000+00:00,1.88,3.454,WARNING
Axis #7,681,681,2022-10-17 12:47:59.653000+00:00,2022-10-17 12:47:59.653000+00:00,0.0,4.5394,WARNING
Axis #4,682,682,2022-10-17 12:48:01.580000+00:00,2022-10-17 12:48:01.580000+00:00,0.0,4.1779,WARNING
Axis #2,689,689,2022-10-17 12:48:14.833000+00:00,2022-10-17 12:48:14.833000+00:00,0.0,16.9139,WARNING
Axis #7,692,692,2022-10-17 12:48:20.433000+00:00,2022-10-17 12:48:20.433000+00:00,0.0,5.1661,WARNING
Axis #5,694,694,2022-10-17 12:48:24.182000+00:00,2022-10-17 12:48:24.182000+00:00,0.0,5.1359,WARNING
Axis #6,700,700,2022-10-17 12:48:35.444000+00:00,2022-10-17 12:48:35.444000+00:00,0.0,4.5261,WARNING
Axis #4,707,707,2022-10-17 12:48:52.828000+00:00,2022-10-17 12:48:52.828000+00:00,0.0,4.3203,WARNING
Axis #5,740,740,2022-10-17 12:49:58.966000+00:00,2022-10-17 12:49:58.966000+00:00,0.0,4.3334,WARNING
Axis #3,742,742,2022-10-17 12:50:02.772000+00:00,2022-10-17 12:50:02.772000+00:00,0.0,13.9512,WARNING
Axis #1,752,752,2022-10-17 12:50:21.722000+00:00,2022-10-17 12:50:21.722000+00:00,0.0,4.4251,WARNING
Axis #7,758,758,2022-10-17 12:50:33.012000+00:00,2022-10-17 12:50:33.012000+00:00,0.0,5.8818,WARNING
Axis #3,766,766,2022-10-17 12:50:48.079000+00:00,2022-10-17 12:50:48.079000+00:00,0.0,11.8869,WARNING
Axis #6,766,766,2022-10-17 12:50:48.079000+00:00,2022-10-17 12:50:48.079000+00:00,0.0,4.6068,WARNING
Axis #4,767,767,2022-10-17 12:50:50.022000+00:00,2022-10-17 12:50:50.022000+00:00,0.0,3.2565,WARNING
Axis #5,767,767,2022-10-17 12:50:50.022000+00:00,2022-10-17 12:50:50.022000+00:00,0.0,4.5695,WARNING
Axis #8,767,767,2022-10-17 12:50:50.022000+00:00,2022-10-17 12:50:50.022000+00:00,0.0,0.968,WARNING
Axis #8,771,771,2022-10-17 12:51:01.900000+00:00,2022-10-17 12:51:01.900000+00:00,0.0,1.0217,WARNING
Axis #8,773,773,2022-10-17 12:51:05.652000+00:00,2022-10-17 12:51:05.652000+00:00,0.0,0.9889,WARNING
Axis #3,791,791,2022-10-17 12:51:39.746000+00:00,2022-10-17 12:51:39.746000+00:00,0.0,11.2277,WARNING
Axis #4,795,795,2022-10-17 12:51:47.377000+00:00,2022-10-17 12:51:47.377000+00:00,0.0,3.5189,WARNING
Axis #6,795,795,2022-10-17 12:51:47.377000+00:00,2022-10-17 12:51:47.377000+00:00,0.0,3.8143,WARNING
Axis #5,796,796,2022-10-17 12:51:49.226000+00:00,2022-10-17 12:51:49.226000+00:00,0.0,4.2634,WARNING
Axis #6,800,800,2022-10-17 12:52:00.993000+00:00,2022-10-17 12:52:00.993000+00:00,0.0,3.7895,WARNING
Axis #3,801,801,2022-10-17 12:52:02.874000+00:00,2022-10-17 12:52:02.874000+00:00,0.0,13.7227,WARNING
Axis #5,803,803,2022-10-17 12:52:06.665000+00:00,2022-10-17 12:52:06.665000+00:00,0.0,4.3786,WARNING
Axis #5,814,814,2022-10-17 12:52:27.357000+00:00,2022-10-17 12:52:27.357000+00:00,0.0,4.4215,WARNING
Axis #8,826,826,2022-10-17 12:52:50.013000+00:00,2022-10-17 12:52:50.013000+00:00,0.0,0.8943,WARNING
Axis #5,832,832,2022-10-17 12:53:05.437000+00:00,2022-10-17 12:53:05.437000+00:00,0.0,4.2101,WARNING
Axis #8,832,832,2022-10-17 12:53:05.437000+00:00,2022-10-17 12:53:05.437000+00:00,0.0,0.8416,WARNING
Axis #4,838,838,2022-10-17 12:53:16.851000+00:00,2022-10-17 12:53:16.851000+00:00,0.0,3.3647,WARNING
Axis #8,844,844,2022-10-17 12:53:28.063000+00:00,2022-10-17 12:53:28.063000+00:00,0.0,1.2002,WARNING
Axis #1,845,845,2022-10-17 12:53:29.901000+00:00,2022-10-17 12:53:29.901000+00:00,0.0,6.8685,WARNING
Axis #3,851,851,2022-10-17 12:53:41.205000+00:00,2022-10-17 12:53:41.205000+00:00,0.0,10.8156,WARNING
Axis #7,857,857,2022-10-17 12:53:52.442000+00:00,2022-10-17 12:53:52.442000+00:00,0.0,4.3652,WARNING
Axis #3,863,863,2022-10-17 12:54:03.732000+00:00,2022-10-17 12:54:03.732000+00:00,0.0,13.204,WARNING
Axis #8,864,864,2022-10-17 12:54:09.846000+00:00,2022-10-17 12:54:09.846000+00:00,0.0,1.2522,WARNING
Axis #6,868,868,2022-10-17 12:54:17.327000+00:00,2022-10-17 12:54:17.327000+00:00,0.0,4.2161,WARNING
Axis #2,869,869,2022-10-17 12:54:19.249000+00:00,2022-10-17 12:54:19.249000+00:00,0.0,14.6061,WARNING
Axis #4,876,876,2022-10-17 12:54:32.259000+00:00,2022-10-17 12:54:32.259000+00:00,0.0,3.5329,WARNING
Axis #2,881,881,2022-10-17 12:54:41.722000+00:00,2022-10-17 12:54:41.722000+00:00,0.0,14.0263,WARNING
Axis #3,894,894,2022-10-17 12:55:06.194000+00:00,2022-10-17 12:55:06.194000+00:00,0.0,12.3718,WARNING
Axis #8,901,901,2022-10-17 12:55:23.901000+00:00,2022-10-17 12:55:23.901000+00:00,0.0,0.8655,WARNING
Axis #1,904,904,2022-10-17 12:55:29.538000+00:00,2022-10-17 12:55:29.538000+00:00,0.0,4.4501,WARNING
Axis #3,915,915,2022-10-17 12:55:50.193000+00:00,2022-10-17 12:55:50.193000+00:00,0.0,11.9502,WARNING
Axis #2,919,919,2022-10-17 12:55:57.569000+00:00,2022-10-17 12:55:57.569000+00:00,0.0,16.8021,WARNING
Axis #7,920,920,2022-10-17 12:55:59.453000+00:00,2022-10-17 12:55:59.453000+00:00,0.0,4.4308,WARNING
Axis #2,923,923,2022-10-17 12:56:04.995000+00:00,2022-10-17 12:56:04.995000+00:00,0.0,13.9116,WARNING
Axis #4,926,926,2022-10-17 12:56:12.719000+00:00,2022-10-17 12:56:12.719000+00:00,0.0,3.5541,WARNING
Axis #8,926,926,2022-10-17 12:56:12.719000+00:00,2022-10-17 12:56:12.719000+00:00,0.0,0.858,WARNING
Axis #7,928,928,2022-10-17 12:56:20.772000+00:00,2022-10-17 12:56:20.772000+00:00,0.0,4.3898,WARNING
Axis #5,935,935,2022-10-17 12:56:33.890000+00:00,2022-10-17 12:56:33.890000+00:00,0.0,4.6266,WARNING
Axis #4,943,943,2022-10-17 12:56:48.896000+00:00,2022-10-17 12:56:48.896000+00:00,0.0,3.0967,WARNING
Axis #8,944,944,2022-10-17 12:56:50.728000+00:00,2022-10-17 12:56:50.728000+00:00,0.0,0.9677,WARNING
Axis #1,955,955,2022-10-17 12:57:11.412000+00:00,2022-10-17 12:57:11.412000+00:00,0.0,4.8449,WARNING
Axis #5,958,958,2022-10-17 12:57:17.151000+00:00,2022-10-17 12:57:17.151000+00:00,0.0,4.9313,WARNING
Axis #7,962,962,2022-10-17 12:57:28.944000+00:00,2022-10-17 12:57:28.944000+00:00,0.0,5.5031,WARNING
Axis #8,963,963,2022-10-17 12:57:30.862000+00:00,2022-10-17 12:57:30.862000+00:00,0.0,1.0432,WARNING
Axis #3,981,981,2022-10-17 12:58:04.703000+00:00,2022-10-17 12:58:04.703000+00:00,0.0,11.8713,WARNING
Axis #2,983,983,2022-10-17 12:58:08.435000+00:00,2022-10-17 12:58:08.435000+00:00,0.0,14.6163,WARNING
Axis #3,984,984,2022-10-17 12:58:10.307000+00:00,2022-10-17 12:58:10.307000+00:00,0.0,10.7261,WARNING
Axis #5,984,984,2022-10-17 12:58:10.307000+00:00,2022-10-17 12:58:10.307000+00:00,0.0,6.5274,WARNING
Axis #2,986,986,2022-10-17 12:58:14.096000+00:00,2022-10-17 12:58:14.096000+00:00,0.0,15.677,WARNING
Axis #8,990,991,2022-10-17 12:58:21.657000+00:00,2022-10-17 12:58:27.766000+00:00,6.109,0.9994,ALERT
Axis #4,998,998,2022-10-17 12:58:40.906000+00:00,2022-10-17 12:58:40.906000+00:00,0.0,3.5144,WARNING
Axis #4,1003,1003,2022-10-17 12:58:50.352000+00:00,2022-10-17 12:58:50.352000+00:00,0.0,3.5308,WARNING
Axis #2,1008,1008,2022-10-17 12:58:59.813000+00:00,2022-10-17 12:58:59.813000+00:00,0.0,14.2801,WARNING
Axis #4,1008,1008,2022-10-17 12:58:59.813000+00:00,2022-10-17 12:58:59.813000+00:00,0.0,3.2147,WARNING
Axis #8,1010,1010,2022-10-17 12:59:03.575000+00:00,2022-10-17 12:59:03.575000+00:00,0.0,0.9877,WARNING
Axis #7,1013,1013,2022-10-17 12:59:09.336000+00:00,2022-10-17 12:59:09.336000+00:00,0.0,4.8949,WARNING
Axis #8,1017,1017,2022-10-17 12:59:16.968000+00:00,2022-10-17 12:59:16.968000+00:00,0.0,0.8642,WARNING
Axis #5,1026,1026,2022-10-17 12:59:38.474000+00:00,2022-10-17 12:59:38.474000+00:00,0.0,4.2787,WARNING
Axis #3,1029,1029,2022-10-17 12:59:44.209000+00:00,2022-10-17 12:59:44.209000+00:00,0.0,10.7829,WARNING
Axis #4,1029,1029,2022-10-17 12:59:44.209000+00:00,2022-10-17 12:59:44.209000+00:00,0.0,3.2278,WARNING
Axis #3,1031,1031,2022-10-17 12:59:47.992000+00:00,2022-10-17 12:59:47.992000+00:00,0.0,12.539,WARNING
Axis #6,1038,1038,2022-10-17 13:00:01.299000+00:00,2022-10-17 13:00:01.299000+00:00,0.0,3.6271,WARNING
Axis #5,1046,1046,2022-10-17 13:00:16.784000+00:00,2022-10-17 13:00:16.784000+00:00,0.0,5.5325,WARNING
Axis #2,1050,1050,2022-10-17 13:00:24.547000+00:00,2022-10-17 13:00:24.547000+00:00,0.0,13.6074,WARNING
Axis #6,1050,1050,2022-10-17 13:00:24.547000+00:00,2022-10-17 13:00:24.547000+00:00,0.0,3.8738,WARNING
Axis #1,1051,1051,2022-10-17 13:00:26.456000+00:00,2022-10-17 13:00:26.456000+00:00,0.0,5.2822,WARNING
Axis #2,1053,1053,2022-10-17 13:00:30.212000+00:00,2022-10-17 13:00:30.212000+00:00,0.0,15.0746,WARNING
Axis #6,1053,1053,2022-10-17 13:00:30.212000+00:00,2022-10-17 13:00:30.212000+00:00,0.0,5.3743,WARNING
Axis #8,1065,1065,2022-10-17 13:00:56.532000+00:00,2022-10-17 13:00:56.532000+00:00,0.0,0.9362,WARNING
Axis #4,1066,1066,2022-10-17 13:00:58.417000+00:00,2022-10-17 13:00:58.417000+00:00,0.0,3.1076,WARNING
Axis #5,1071,1071,2022-10-17 13:01:07.897000+00:00,2022-10-17 13:01:07.897000+00:00,0.0,4.2101,WARNING
